analysis,ci95_half_width,ci95_high,ci95_low,comparison,mean,metric,n,t_critical,workload
arm_mean,0.9467347117482757,51.24240422971782,49.348934806221266,guard,50.29566951796954,1BDP_to_1MB_fct_us_mean,5,2.7764451051977987,AliStorage50
arm_mean,10.345985487958739,155.0608554879587,134.36888451204123,guard,144.71486999999996,1BDP_to_1MB_fct_us_p95,5,2.7764451051977987,AliStorage50
arm_mean,40.7253667615549,271.4207567615549,189.97002323844512,guard,230.69539000000003,1BDP_to_1MB_fct_us_p99,5,2.7764451051977987,AliStorage50
arm_mean,17.712762350423954,208.71276235042396,173.28723764957604,guard,191.0,1BDP_to_1MB_flow_count,5,2.7764451051977987,AliStorage50
arm_mean,0.015477117915239738,1.3516292646062313,1.3206750287757518,guard,1.3361521466909916,1BDP_to_1MB_slowdown_mean,5,2.7764451051977987,AliStorage50
arm_mean,0.07022981386769726,2.1763517541494157,2.0358921264140215,guard,2.1061219402817186,1BDP_to_1MB_slowdown_p95,5,2.7764451051977987,AliStorage50
arm_mean,0.3452897189349631,3.132402540684139,2.4418231028142126,guard,2.787112821749176,1BDP_to_1MB_slowdown_p99,5,2.7764451051977987,AliStorage50
arm_mean,0.03404979121938544,9.291271176476302,9.223171594037533,guard,9.257221385256917,8KB_to_1BDP_fct_us_mean,5,2.7764451051977987,AliStorage50
arm_mean,0.5844416418850845,15.749891641885082,14.581008358114914,guard,15.165449999999998,8KB_to_1BDP_fct_us_p95,5,2.7764451051977987,AliStorage50
arm_mean,0.3105464492233538,18.790548449223355,18.16945555077665,guard,18.480002000000002,8KB_to_1BDP_fct_us_p99,5,2.7764451051977987,AliStorage50
arm_mean,70.4199750545706,1658.4199750545706,1517.5800249454294,guard,1588.0,8KB_to_1BDP_flow_count,5,2.7764451051977987,AliStorage50
arm_mean,0.0018230747607108275,1.0479702554171242,1.0443241058957025,guard,1.0461471806564133,8KB_to_1BDP_slowdown_mean,5,2.7764451051977987,AliStorage50
arm_mean,0.007649568155786455,1.193095830190895,1.177796693879322,guard,1.1854462620351085,8KB_to_1BDP_slowdown_p95,5,2.7764451051977987,AliStorage50
arm_mean,0.038160598327983845,1.4194944013954325,1.3431732047394649,guard,1.3813338030674487,8KB_to_1BDP_slowdown_p99,5,2.7764451051977987,AliStorage50
arm_mean,0.0,0.0,0.0,guard,0.0,completion_releases,5,2.7764451051977987,AliStorage50
arm_mean,0.0,2.0,2.0,guard,2.0,elapsed_seconds,5,2.7764451051977987,AliStorage50
arm_mean,86.38002191376097,6213.580021913761,6040.819978086239,guard,6127.2,flow_count,5,2.7764451051977987,AliStorage50
arm_mean,0.5552890210395597,0.7552890210395597,-0.35528902103955967,guard,0.2,grant_binding_rate_changes,5,2.7764451051977987,AliStorage50
arm_mean,81.45637594543766,258.25637594543764,95.34362405456235,guard,176.8,grant_binding_updates,5,2.7764451051977987,AliStorage50
arm_mean,47590.86630104137,399677.2663010414,304495.53369895864,guard,352086.4,grant_bytes_sent,5,2.7764451051977987,AliStorage50
arm_mean,371.05669701119933,2045.6566970111992,1303.5433029888006,guard,1674.6,grant_event_rate_changes,5,2.7764451051977987,AliStorage50
arm_mean,506.285811713206,4251.885811713206,3239.314188286794,guard,3745.6,grants_received,5,2.7764451051977987,AliStorage50
arm_mean,506.285811713206,4251.885811713206,3239.314188286794,guard,3745.6,grants_sent,5,2.7764451051977987,AliStorage50
arm_mean,19.59910736542218,283.14814437281075,243.94992964196638,guard,263.54903700738856,gt_1MB_fct_us_mean,5,2.7764451051977987,AliStorage50
arm_mean,99.86142616142132,597.3774061614213,397.6545538385787,guard,497.51598,gt_1MB_fct_us_p95,5,2.7764451051977987,AliStorage50
arm_mean,157.7329850037042,794.2059310037041,478.7399609962957,guard,636.4729459999999,gt_1MB_fct_us_p99,5,2.7764451051977987,AliStorage50
arm_mean,6.946663433823958,95.54666343382395,81.65333656617604,guard,88.6,gt_1MB_flow_count,5,2.7764451051977987,AliStorage50
arm_mean,0.13617736727204022,2.0966534461519033,1.824298711607823,guard,1.9604760788798632,gt_1MB_slowdown_mean,5,2.7764451051977987,AliStorage50
arm_mean,1.2214452815834402,4.888062201007316,2.445171637840436,guard,3.666616919423876,gt_1MB_slowdown_p95,5,2.7764451051977987,AliStorage50
arm_mean,1.060592498805005,5.5069661194085695,3.3857811217985594,guard,4.4463736206035644,gt_1MB_slowdown_p99,5,2.7764451051977987,AliStorage50
arm_mean,0.0,0.0,0.0,guard,0.0,guard_adaptive_grant_updates,5,2.7764451051977987,AliStorage50
arm_mean,0.0,1.0,1.0,guard,1.0,guard_grant_refresh_bdps,5,2.7764451051977987,AliStorage50
arm_mean,0.0,0.0,0.0,guard,0.0,guard_min_share_fraction,5,2.7764451051977987,AliStorage50
arm_mean,0.0,0.0,0.0,guard,0.0,guard_rebalance_events,5,2.7764451051977987,AliStorage50
arm_mean,0.0,1.0,1.0,guard,1.0,guard_remaining_aware,5,2.7764451051977987,AliStorage50
arm_mean,0.0,1.0,1.0,guard,1.0,guard_remaining_exponent,5,2.7764451051977987,AliStorage50
arm_mean,275.0777612788623,2655.6777612788624,2105.5222387211375,guard,2380.6,guard_remaining_refresh_events,5,2.7764451051977987,AliStorage50
arm_mean,0.0,1.0,1.0,guard,1.0,guard_sender_srpt_enabled,5,2.7764451051977987,AliStorage50
arm_mean,55.173769737236775,180.17376973723677,69.82623026276323,guard,125.0,guard_sender_srpt_forced_rr,5,2.7764451051977987,AliStorage50
arm_mean,7909.994621551201,49115.794621551206,33295.8053784488,guard,41205.8,guard_sender_srpt_non_rr,5,2.7764451051977987,AliStorage50
arm_mean,17561.552740469277,280526.9527404693,245403.84725953074,guard,262965.4,guard_sender_srpt_selections,5,2.7764451051977987,AliStorage50
arm_mean,0.0,64.0,64.0,guard,64.0,guard_srpt_quantum_packets,5,2.7764451051977987,AliStorage50
arm_mean,0.0,8.0,8.0,guard,8.0,guard_tail_bypass_bdps,5,2.7764451051977987,AliStorage50
arm_mean,0.0,1.0,1.0,guard,1.0,guard_tail_bypass_enabled,5,2.7764451051977987,AliStorage50
arm_mean,1004.8289706695577,16117.628970669557,14107.971029330442,guard,15112.8,guard_tail_bypass_feedbacks,5,2.7764451051977987,AliStorage50
arm_mean,20.954344589301556,388.5543445893016,346.64565541069845,guard,367.6,guard_tail_bypass_flows,5,2.7764451051977987,AliStorage50
arm_mean,0.0,0.0,0.0,guard,0.0,homa_completion_notices_received,5,2.7764451051977987,AliStorage50
arm_mean,0.0,0.0,0.0,guard,0.0,homa_completion_notices_sent,5,2.7764451051977987,AliStorage50
arm_mean,0.0,0.0,0.0,guard,0.0,homa_data_bytes,5,2.7764451051977987,AliStorage50
arm_mean,0.0,0.0,0.0,guard,0.0,homa_data_packets,5,2.7764451051977987,AliStorage50
arm_mean,0.0,0.0,0.0,guard,0.0,homa_grants_received,5,2.7764451051977987,AliStorage50
arm_mean,0.0,0.0,0.0,guard,0.0,homa_grants_sent,5,2.7764451051977987,AliStorage50
arm_mean,0.0,0.0,0.0,guard,0.0,homa_max_pending_messages,5,2.7764451051977987,AliStorage50
arm_mean,0.0,0.0,0.0,guard,0.0,homa_messages_completed,5,2.7764451051977987,AliStorage50
arm_mean,0.0,0.0,0.0,guard,0.0,homa_messages_tracked,5,2.7764451051977987,AliStorage50
