analysis,ci95_half_width,ci95_high,ci95_low,comparison,mean,metric,n
arm_mean,4400.607720280709,39001.8077202807,30200.592279719287,tail8,34601.2,int_hops_after_strip,5
arm_mean,7249.800134843652,72494.60013484365,57994.99986515635,tail8,65244.8,int_hops_before_strip,5
arm_mean,3113.3251683231033,33756.925168323105,27530.274831676896,tail8,30643.6,int_records_stripped,5
arm_mean,0.0,0.0,0.0,tail8,0.0,irn_nacks_generated,5
arm_mean,0.0,0.0,0.0,tail8,0.0,irn_nacks_received,5
arm_mean,0.0,0.0,0.0,tail8,0.0,irn_retransmit_bytes,5
arm_mean,0.0,0.0,0.0,tail8,0.0,irn_retransmit_packets,5
arm_mean,0.04817767214706222,7.033720357966712,6.937365013672587,tail8,6.98554268581965,le_8KB_fct_us_mean,5
arm_mean,0.023171285015115842,9.150551285015114,9.104208714984884,tail8,9.127379999999999,le_8KB_fct_us_p95,5
arm_mean,0.07216655273283604,9.492668552732837,9.348335447267164,tail8,9.420502,le_8KB_fct_us_p99,5
arm_mean,125.44493950587147,4340.444939505872,4089.5550604941286,tail8,4215.0,le_8KB_flow_count,5
arm_mean,0.0010679397156948213,1.0119253879554728,1.0097895085240833,tail8,1.010857448239778,le_8KB_slowdown_mean,5
arm_mean,0.0034898458841659805,1.0433550364548676,1.0363753446865358,tail8,1.0398651905707017,le_8KB_slowdown_p95,5
arm_mean,0.009413056989078447,1.0910403066297305,1.0722141926515736,tail8,1.081627249640652,le_8KB_slowdown_p99,5
arm_mean,0.14379338697020463,1.9417319841792047,1.6541452102387955,tail8,1.797938597209,long_to_small_slowdown_mean_ratio,5
arm_mean,1.0388506336835697,4.8388506336835695,2.76114936631643,tail8,3.8,max_active_flows,5
arm_mean,0.8384583368184801,13.023666792175167,11.346750118538207,tail8,12.185208455356687,overall_fct_us_mean,5
arm_mean,0.7835061430257004,17.2869061430257,15.719893856974299,tail8,16.5034,overall_fct_us_p95,5
arm_mean,27.00929128796579,207.75829728796643,153.73971471203484,tail8,180.74900600000063,overall_fct_us_p99,5
arm_mean,164.50056507747775,6232.500565077477,5903.499434922523,tail8,6068.0,overall_flow_count,5
arm_mean,0.005774575018690631,1.0469164018307584,1.0353672517933772,tail8,1.0411418268120678,overall_slowdown_mean,5
arm_mean,0.008367588804549153,1.15950544429356,1.1427702666844617,tail8,1.1511378554890108,overall_slowdown_p95,5
arm_mean,0.15997417815983664,1.9062898304295093,1.5863414741098358,tail8,1.7463156522696726,overall_slowdown_p99,5
arm_mean,0.0,0.0,0.0,tail8,0.0,pfc_pause_events,5
arm_mean,0.0,0.0,0.0,tail8,0.0,pfc_resume_events,5
arm_mean,20.84368894207274,379.44368894207275,337.7563110579273,tail8,358.6,proactive_releases,5
arm_mean,67890.93592366802,346494.93592366803,210713.06407633197,tail8,278604.0,queue_bytes_max,5
arm_mean,579.1700450111505,2773.5240450111505,1615.1839549888498,tail8,2194.3540000000003,queue_bytes_mean,5
arm_mean,2421.060131732481,9179.06013173248,4336.939868267519,tail8,6758.0,queue_bytes_p95,5
arm_mean,18492.803114872662,88470.80311487266,51485.19688512734,tail8,69978.0,queue_bytes_p99,5
