arm,elapsed_seconds,flow_count,flow_sha256,git_sha,output_bytes,output_dir,output_id,passed,seed
adaptive_off,2,6042,afd0e79910884a31ae7f43f469a450615ecbd875a90ab9c22418069a85cb9529,fcc0636d68e5d2e6b090d0b80c0efe199103abdd,641795,mix/output/151209905,151209905,True,81
budget025,2,6042,afd0e79910884a31ae7f43f469a450615ecbd875a90ab9c22418069a85cb9529,fcc0636d68e5d2e6b090d0b80c0efe199103abdd,642417,mix/output/764546830,764546830,True,81
budget050,2,6042,afd0e79910884a31ae7f43f469a450615ecbd875a90ab9c22418069a85cb9529,fcc0636d68e5d2e6b090d0b80c0efe199103abdd,642194,mix/output/519466200,519466200,True,81
budget100,2,6042,afd0e79910884a31ae7f43f469a450615ecbd875a90ab9c22418069a85cb9529,fcc0636d68e5d2e6b090d0b80c0efe199103abdd,642623,mix/output/774293366,774293366,True,81
adaptive_off,3,6193,446c99885d487acfb18c2f2094f3309e6c4e9536ff20d3a31db4896f8d745123,fcc0636d68e5d2e6b090d0b80c0efe199103abdd,669757,mix/output/784246758,784246758,True,82
budget025,3,6193,446c99885d487acfb18c2f2094f3309e6c4e9536ff20d3a31db4896f8d745123,fcc0636d68e5d2e6b090d0b80c0efe199103abdd,671031,mix/output/613272788,613272788,True,82
budget050,2,6193,446c99885d487acfb18c2f2094f3309e6c4e9536ff20d3a31db4896f8d745123,fcc0636d68e5d2e6b090d0b80c0efe199103abdd,670797,mix/output/673034558,673034558,True,82
budget100,3,6193,446c99885d487acfb18c2f2094f3309e6c4e9536ff20d3a31db4896f8d745123,fcc0636d68e5d2e6b090d0b80c0efe199103abdd,670631,mix/output/256511504,256511504,True,82
adaptive_off,2,6091,3d9d0aeac7f7a8bcb96d3244a06f588fbecd313c989abe4d29dd286e9a571918,fcc0636d68e5d2e6b090d0b80c0efe199103abdd,649225,mix/output/190246107,190246107,True,83
budget025,2,6091,3d9d0aeac7f7a8bcb96d3244a06f588fbecd313c989abe4d29dd286e9a571918,fcc0636d68e5d2e6b090d0b80c0efe199103abdd,648758,mix/output/3677791,3677791,True,83
budget050,2,6091,3d9d0aeac7f7a8bcb96d3244a06f588fbecd313c989abe4d29dd286e9a571918,fcc0636d68e5d2e6b090d0b80c0efe199103abdd,649228,mix/output/854415392,854415392,True,83
budget100,2,6091,3d9d0aeac7f7a8bcb96d3244a06f588fbecd313c989abe4d29dd286e9a571918,fcc0636d68e5d2e6b090d0b80c0efe199103abdd,649225,mix/output/234344203,234344203,True,83
adaptive_off,2,5934,cd81856989cab1bb7e915ffacca28dccb3517238796018abf365bf37b9e21043,fcc0636d68e5d2e6b090d0b80c0efe199103abdd,637208,mix/output/983406077,983406077,True,84
budget025,2,5934,cd81856989cab1bb7e915ffacca28dccb3517238796018abf365bf37b9e21043,fcc0636d68e5d2e6b090d0b80c0efe199103abdd,637281,mix/output/945254042,945254042,True,84
budget050,2,5934,cd81856989cab1bb7e915ffacca28dccb3517238796018abf365bf37b9e21043,fcc0636d68e5d2e6b090d0b80c0efe199103abdd,639493,mix/output/932910528,932910528,True,84
budget100,2,5934,cd81856989cab1bb7e915ffacca28dccb3517238796018abf365bf37b9e21043,fcc0636d68e5d2e6b090d0b80c0efe199103abdd,635553,mix/output/35471567,35471567,True,84
adaptive_off,2,6052,a3960da97f58a7ec97e1cf1ef127a2183d40aff5ed102c90e6f7bf87ed8942dc,fcc0636d68e5d2e6b090d0b80c0efe199103abdd,645781,mix/output/889650838,889650838,True,85
budget025,2,6052,a3960da97f58a7ec97e1cf1ef127a2183d40aff5ed102c90e6f7bf87ed8942dc,fcc0636d68e5d2e6b090d0b80c0efe199103abdd,642380,mix/output/703106397,703106397,True,85
budget050,2,6052,a3960da97f58a7ec97e1cf1ef127a2183d40aff5ed102c90e6f7bf87ed8942dc,fcc0636d68e5d2e6b090d0b80c0efe199103abdd,645410,mix/output/767691329,767691329,True,85
budget100,2,6052,a3960da97f58a7ec97e1cf1ef127a2183d40aff5ed102c90e6f7bf87ed8942dc,fcc0636d68e5d2e6b090d0b80c0efe199103abdd,646858,mix/output/874888836,874888836,True,85
