analysis,workload,comparison,metric,n,mean,ci95_low,ci95_high,ci95_half_width
arm_mean,AliStorage2019,guard,guard_sender_srpt_forced_rr,5,69.6,56.98014834706156,82.21985165293843,12.619851652938438
arm_mean,AliStorage2019,guard,guard_sender_srpt_non_rr,5,24019.6,19560.21283473805,28478.987165261948,4459.38716526195
arm_mean,AliStorage2019,guard,guard_sender_srpt_selections,5,407906.4,385029.91876620345,430782.8812337966,22876.481233796578
arm_mean,AliStorage2019,guard,guard_srpt_quantum_packets,5,64.0,64.0,64.0,0.0
arm_mean,AliStorage2019,guard,guard_tail_bypass_bdps,5,8.0,8.0,8.0,0.0
arm_mean,AliStorage2019,guard,guard_tail_bypass_enabled,5,1.0,1.0,1.0,0.0
arm_mean,AliStorage2019,guard,guard_tail_bypass_feedbacks,5,22990.8,21277.32608656263,24704.27391343737,1713.4739134373713
arm_mean,AliStorage2019,guard,guard_tail_bypass_flows,5,579.2,547.4779755612767,610.9220244387234,31.722024438723352
arm_mean,AliStorage2019,guard,hpcc_actual_rate_changes,5,148.2,79.86672780036517,216.5332721996348,68.33327219963482
arm_mean,AliStorage2019,guard,hpcc_fast_computations,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,guard,hpcc_feedback_updates,5,2593.8,2396.5093976523613,2791.090602347639,197.29060234763915
arm_mean,AliStorage2019,guard,hpcc_full_computations,5,547.0,439.7199431333578,654.2800568666422,107.2800568666422
arm_mean,AliStorage2019,guard,hpcc_rate_updates_applied,5,547.0,439.7199431333578,654.2800568666422,107.2800568666422
arm_mean,AliStorage2019,guard,hpcc_valid_feedback,5,634.0,513.4786146046779,754.5213853953221,120.52138539532216
arm_mean,AliStorage2019,guard,int_hops_after_strip,5,51570.4,46530.32190004797,56610.47809995203,5040.0780999520275
arm_mean,AliStorage2019,guard,int_hops_before_strip,5,100923.6,93134.7240521487,108712.47594785132,7788.875947851307
arm_mean,AliStorage2019,guard,int_records_stripped,5,49353.2,46519.26663636363,52187.13336363636,2833.933363636367
arm_mean,AliStorage2019,guard,irn_nacks_generated,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,guard,irn_nacks_received,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,guard,irn_retransmit_bytes,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,guard,irn_retransmit_packets,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,guard,le_8KB_fct_us_mean,5,6.810296972952012,6.782743164764583,6.837850781139442,0.02755380818742911
arm_mean,AliStorage2019,guard,le_8KB_fct_us_p95,5,9.110800000000001,9.099440301155083,9.12215969884492,0.011359698844918205
arm_mean,AliStorage2019,guard,le_8KB_fct_us_p99,5,9.365922000000001,9.34077458023988,9.391069419760122,0.025147419760120904
arm_mean,AliStorage2019,guard,le_8KB_flow_count,5,6768.4,6682.7314826511065,6854.068517348893,85.66851734889346
arm_mean,AliStorage2019,guard,le_8KB_slowdown_mean,5,1.007924039467729,1.0073711192571289,1.008476959678329,0.0005529202106001354
arm_mean,AliStorage2019,guard,le_8KB_slowdown_p95,5,1.0302832047307358,1.0291657053392744,1.031400704122197,0.0011174993914613478
arm_mean,AliStorage2019,guard,le_8KB_slowdown_p99,5,1.0665088667183045,1.0639149258062672,1.0691028076303417,0.002593940912037264
arm_mean,AliStorage2019,guard,long_to_small_slowdown_mean_ratio,5,1.6353611949014195,1.4989870127889524,1.7717353770138866,0.13637418211246702
arm_mean,AliStorage2019,guard,max_active_flows,5,3.4,2.719912619341743,4.080087380658257,0.6800873806582569
arm_mean,AliStorage2019,guard,overall_fct_us_mean,5,11.546661087924829,10.89418754165397,12.199134634195687,0.6524735462708575
arm_mean,AliStorage2019,guard,overall_fct_us_p95,5,15.513450000000011,15.24843872194054,15.778461278059483,0.26501127805947144
arm_mean,AliStorage2019,guard,overall_fct_us_p99,5,164.4444200000004,153.5855669327078,175.30327306729302,10.858853067292602
arm_mean,AliStorage2019,guard,overall_flow_count,5,9744.4,9648.094568001248,9840.705431998751,96.30543199875206
arm_mean,AliStorage2019,guard,overall_slowdown_mean,5,1.0296545519217013,1.025388165788441,1.0339209380549617,0.004266386133260407
arm_mean,AliStorage2019,guard,overall_slowdown_p95,5,1.1047012166340067,1.0998964905020214,1.109505942765992,0.004804726131985247
arm_mean,AliStorage2019,guard,overall_slowdown_p99,5,1.4530091485879661,1.3367940757445003,1.569224221431432,0.11621507284346598
arm_mean,AliStorage2019,guard,pfc_pause_events,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,guard,pfc_resume_events,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,guard,proactive_releases,5,579.2,547.4779755612767,610.9220244387234,31.722024438723352
arm_mean,AliStorage2019,guard,queue_bytes_max,5,423792.0,329836.4969157926,517747.5030842074,93955.50308420743
arm_mean,AliStorage2019,guard,queue_bytes_mean,5,2465.6236,1688.7705519830406,3242.476648016959,776.8530480169594
arm_mean,AliStorage2019,guard,queue_bytes_p95,5,347.6,-205.77734084873703,900.9773408487371,553.377340848737
arm_mean,AliStorage2019,guard,queue_bytes_p99,5,95048.0,63330.72620146328,126765.27379853671,31717.27379853672
arm_mean,AliStorage2019,guard,queue_sample_count,5,400020.0,400020.0,400020.0,0.0
arm_mean,AliStorage2019,guard,reactive_binding_rate_changes,5,139.0,75.79698508637404,202.20301491362596,63.20301491362596
arm_mean,AliStorage2019,guard,reactive_binding_updates,5,139.0,75.79698508637404,202.20301491362596,63.20301491362596
arm_mean,AliStorage2019,guard,recovery_nacks_generated,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,guard,recovery_nacks_received,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,guard,registrations,5,579.2,547.4779755612767,610.9220244387234,31.722024438723352
arm_mean,AliStorage2019,guard,selected_registrations,5,579.2,547.4779755612767,610.9220244387234,31.722024438723352
arm_mean,AliStorage2019,guard,tie_binding_rate_changes,5,7.8,3.3750746387843877,12.224925361215611,4.424925361215612
arm_mean,AliStorage2019,guard,tie_binding_updates,5,363.4,300.24212879553636,426.5578712044636,63.15787120446362
arm_mean,AliStorage2019,guard,timeout_recoveries,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,no_priority,1BDP_to_1MB_fct_us_mean,5,50.34914878541639,44.734103482237295,55.964194088595484,5.615045303179093
arm_mean,AliStorage2019,no_priority,1BDP_to_1MB_fct_us_p95,5,138.25498,113.79064550003899,162.719314499961,24.464334499961
arm_mean,AliStorage2019,no_priority,1BDP_to_1MB_fct_us_p99,5,214.79049400000022,180.22017146805473,249.36081653194572,34.57032253194551
arm_mean,AliStorage2019,no_priority,1BDP_to_1MB_flow_count,5,297.6,276.64565541069845,318.5543445893016,20.954344589301556
arm_mean,AliStorage2019,no_priority,1BDP_to_1MB_slowdown_mean,5,1.4333650903173096,1.3409955209877407,1.5257346596468786,0.09236956932956887
arm_mean,AliStorage2019,no_priority,1BDP_to_1MB_slowdown_p95,5,2.685481195736067,2.4427775264653,2.928184865006834,0.2427036692707667
arm_mean,AliStorage2019,no_priority,1BDP_to_1MB_slowdown_p99,5,3.472471740218881,3.034599097635046,3.910344382802716,0.43787264258383485
arm_mean,AliStorage2019,no_priority,8KB_to_1BDP_fct_us_mean,5,10.501615986573757,10.099947247377967,10.903284725769547,0.40166873919578927
arm_mean,AliStorage2019,no_priority,8KB_to_1BDP_fct_us_p95,5,22.939790000000006,20.39727200007284,25.482307999927173,2.542517999927166
arm_mean,AliStorage2019,no_priority,8KB_to_1BDP_fct_us_p99,5,33.59924399999996,30.15088313505416,37.04760486494577,3.4483608649458053
arm_mean,AliStorage2019,no_priority,8KB_to_1BDP_flow_count,5,2543.2,2472.5374265877554,2613.8625734122443,70.66257341224427
arm_mean,AliStorage2019,no_priority,8KB_to_1BDP_slowdown_mean,5,1.1904074297241065,1.1529308697261973,1.2278839897220157,0.03747655999790916
arm_mean,AliStorage2019,no_priority,8KB_to_1BDP_slowdown_p95,5,2.1070719951477255,1.8119047983749375,2.4022391919205135,0.2951671967727881
arm_mean,AliStorage2019,no_priority,8KB_to_1BDP_slowdown_p99,5,3.10207446723702,2.7211631758489725,3.482985758625068,0.38091129138804747
arm_mean,AliStorage2019,no_priority,aggregate_goodput_gbps,5,160.8667495718136,152.03751464346647,169.69598450016076,8.829234928347159
arm_mean,AliStorage2019,no_priority,completion_releases,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,no_priority,completion_span_us,5,20042.021,19975.901313366587,20108.140686633415,66.11968663341297
arm_mean,AliStorage2019,no_priority,grant_binding_rate_changes,5,1.4,-0.48307668834844186,3.2830766883484417,1.8830766883484418
arm_mean,AliStorage2019,no_priority,grant_binding_updates,5,49.2,14.351466101287194,84.0485338987128,34.84853389871281
arm_mean,AliStorage2019,no_priority,grant_bytes_sent,5,457554.4,407120.37371135555,507988.4262886445,50434.026288644476
arm_mean,AliStorage2019,no_priority,grant_event_rate_changes,5,1001.0,495.7968401827781,1506.2031598172218,505.2031598172219
arm_mean,AliStorage2019,no_priority,grants_received,5,4867.6,4331.067805439952,5404.132194560048,536.5321945600476
arm_mean,AliStorage2019,no_priority,grants_sent,5,4867.6,4331.067805439952,5404.132194560048,536.5321945600476
arm_mean,AliStorage2019,no_priority,gt_1MB_fct_us_mean,5,222.77411169221506,201.06367783740103,244.4845455470291,21.71043385481402
arm_mean,AliStorage2019,no_priority,gt_1MB_fct_us_p95,5,446.62231,363.4387247504175,529.8058952495826,83.18358524958252
arm_mean,AliStorage2019,no_priority,gt_1MB_fct_us_p99,5,576.4801599999998,467.8733494041171,685.0869705958826,108.60681059588276
arm_mean,AliStorage2019,no_priority,gt_1MB_flow_count,5,135.2,123.63851452880962,146.76148547119035,11.56148547119037
arm_mean,AliStorage2019,no_priority,gt_1MB_slowdown_mean,5,1.6245158664277013,1.4905388024807897,1.7584929303746129,0.13397706394691145
arm_mean,AliStorage2019,no_priority,gt_1MB_slowdown_p95,5,2.9622522869080448,2.4431699132393865,3.481334660576703,0.5190823736686581
arm_mean,AliStorage2019,no_priority,gt_1MB_slowdown_p99,5,3.912261809340843,3.256252994866281,4.568270623815406,0.6560088144745624
arm_mean,AliStorage2019,no_priority,guard_ack_interval_packets,5,8.0,8.0,8.0,0.0
arm_mean,AliStorage2019,no_priority,guard_adaptive_grant_updates,5,0.0,0.0,0.0,0.0
arm_mean,AliStorage2019,no_priority,guard_fixed_window,5,1.0,1.0,1.0,0.0
arm_mean,AliStorage2019,no_priority,guard_grant_refresh_bdps,5,1.0,1.0,1.0,0.0
