workload,seed,arm,metric,value
AliStorage2019,11,guard,guard_one_rtt_bypass_flows,9130.0
AliStorage2019,11,guard,guard_rebalance_events,0.0
AliStorage2019,11,guard,guard_remaining_aware,1.0
AliStorage2019,11,guard,guard_remaining_exponent,1.0
AliStorage2019,11,guard,guard_remaining_refresh_events,3942.0
AliStorage2019,11,guard,guard_sender_srpt_enabled,1.0
AliStorage2019,11,guard,guard_sender_srpt_forced_rr,76.0
AliStorage2019,11,guard,guard_sender_srpt_non_rr,28647.0
AliStorage2019,11,guard,guard_sender_srpt_selections,435617.0
AliStorage2019,11,guard,guard_srpt_quantum_packets,64.0
AliStorage2019,11,guard,guard_tail_bypass_bdps,8.0
AliStorage2019,11,guard,guard_tail_bypass_enabled,1.0
AliStorage2019,11,guard,guard_tail_bypass_feedbacks,24903.0
AliStorage2019,11,guard,guard_tail_bypass_flows,593.0
AliStorage2019,11,guard,hpcc_actual_rate_changes,201.0
AliStorage2019,11,guard,hpcc_fast_computations,0.0
AliStorage2019,11,guard,hpcc_feedback_updates,2837.0
AliStorage2019,11,guard,hpcc_full_computations,690.0
AliStorage2019,11,guard,hpcc_rate_updates_applied,690.0
AliStorage2019,11,guard,hpcc_valid_feedback,795.0
AliStorage2019,11,guard,int_hops_after_strip,58126.0
AliStorage2019,11,guard,int_hops_before_strip,110864.0
AliStorage2019,11,guard,int_records_stripped,52738.0
AliStorage2019,11,guard,irn_nacks_generated,0.0
AliStorage2019,11,guard,irn_nacks_received,0.0
AliStorage2019,11,guard,irn_retransmit_bytes,0.0
AliStorage2019,11,guard,irn_retransmit_packets,0.0
AliStorage2019,11,guard,le_8KB_fct_us_mean,6.823107736046685
AliStorage2019,11,guard,le_8KB_fct_us_p95,9.122
AliStorage2019,11,guard,le_8KB_fct_us_p99,9.38936
AliStorage2019,11,guard,le_8KB_flow_count,6683.0
AliStorage2019,11,guard,le_8KB_slowdown_mean,1.0085737863380322
AliStorage2019,11,guard,le_8KB_slowdown_p95,1.0310817754297998
AliStorage2019,11,guard,le_8KB_slowdown_p99,1.066878080388945
AliStorage2019,11,guard,long_to_small_slowdown_mean_ratio,1.7472971857677189
AliStorage2019,11,guard,max_active_flows,4.0
AliStorage2019,11,guard,overall_fct_us_mean,12.319013061812198
AliStorage2019,11,guard,overall_fct_us_p95,15.606999999999992
AliStorage2019,11,guard,overall_fct_us_p99,176.29850000000062
AliStorage2019,11,guard,overall_flow_count,9723.0
AliStorage2019,11,guard,overall_slowdown_mean,1.0345134459132557
AliStorage2019,11,guard,overall_slowdown_p95,1.1090224794152816
AliStorage2019,11,guard,overall_slowdown_p99,1.6076772767248442
AliStorage2019,11,guard,pfc_pause_events,0.0
AliStorage2019,11,guard,pfc_resume_events,0.0
AliStorage2019,11,guard,proactive_releases,593.0
AliStorage2019,11,guard,queue_bytes_max,432730.0
AliStorage2019,11,guard,queue_bytes_mean,3216.23
AliStorage2019,11,guard,queue_bytes_p95,1090.0
AliStorage2019,11,guard,queue_bytes_p99,117720.0
AliStorage2019,11,guard,queue_sample_count,400020.0
AliStorage2019,11,guard,reactive_binding_rate_changes,186.0
AliStorage2019,11,guard,reactive_binding_updates,186.0
AliStorage2019,11,guard,recovery_nacks_generated,0.0
AliStorage2019,11,guard,recovery_nacks_received,0.0
AliStorage2019,11,guard,registrations,593.0
AliStorage2019,11,guard,selected_registrations,593.0
AliStorage2019,11,guard,tie_binding_rate_changes,12.0
AliStorage2019,11,guard,tie_binding_updates,426.0
AliStorage2019,11,guard,timeout_recoveries,0.0
AliStorage2019,11,no_priority,1BDP_to_1MB_fct_us_mean,57.50109655172414
AliStorage2019,11,no_priority,1BDP_to_1MB_fct_us_p95,169.60690000000017
AliStorage2019,11,no_priority,1BDP_to_1MB_fct_us_p99,248.7851100000005
AliStorage2019,11,no_priority,1BDP_to_1MB_flow_count,290.0
AliStorage2019,11,no_priority,1BDP_to_1MB_slowdown_mean,1.56046289647943
AliStorage2019,11,no_priority,1BDP_to_1MB_slowdown_p95,2.9866527281243602
AliStorage2019,11,no_priority,1BDP_to_1MB_slowdown_p99,3.837105310775561
