time_ns,event,set_change,host_node,flow_id,data_source_ip,data_destination_ip,active_flows,line_rate_bps,grant_rate_bps,next_seq,serialized_bytes
2004004481,sent,registration,15,0,184549377,184553217,1,100000000000,100000000000,1000,60
2004005264,sent,registration,15,1,184549633,184553217,2,100000000000,50000000000,1000,60
2004005264,sent,registration,15,0,184549377,184553217,2,100000000000,50000000000,9000,60
2004008513,received,none,0,0,184549377,184553217,0,100000000000,100000000000,97000,60
2004009296,received,none,1,1,184549633,184553217,0,100000000000,50000000000,98000,60
2004009297,received,none,0,0,184549377,184553217,0,100000000000,50000000000,106000,60
2005477373,sent,release,15,1,184549633,184553217,1,100000000000,100000000000,7647000,60
2005481402,received,none,1,1,184549633,184553217,0,100000000000,100000000000,7691000,60
# attempted 8 written 8 truncated 0
