analysis,ci95_half_width,ci95_high,ci95_low,comparison,mean,metric,n
arm_mean,4.434099295455515,55.22705482167429,46.35885623076325,q16,50.79295552621877,1BDP_to_1MB_fct_us_mean,5
paired_percent,0.1411083196257258,0.4868106698305549,0.2045940305791033,q16_minus_q64,0.3457023502048291,1BDP_to_1MB_fct_us_mean,5
arm_mean,26.08843712077572,185.34702712077572,133.17015287922428,q16,159.25859,1BDP_to_1MB_fct_us_p95,5
paired_percent,0.28515908891395686,0.10723701497869842,-0.4630811628492153,q16_minus_q64,-0.17792207393525844,1BDP_to_1MB_fct_us_p95,5
arm_mean,37.6389154168719,266.0758634168719,190.79803258312813,q16,228.43694800000003,1BDP_to_1MB_fct_us_p99,5
paired_percent,0.651094097929521,0.7788064191733938,-0.5233817766856482,q16_minus_q64,0.12771232124387275,1BDP_to_1MB_fct_us_p99,5
arm_mean,15.393629258810778,206.1936292588108,175.40637074118922,q16,190.8,1BDP_to_1MB_flow_count,5
paired_percent,0.0,0.0,0.0,q16_minus_q64,0.0,1BDP_to_1MB_flow_count,5
arm_mean,0.047512220029199415,1.4035471529133,1.3085227128549008,q16,1.3560349328841004,1BDP_to_1MB_slowdown_mean,5
paired_percent,0.1692929110526433,0.5913794221426132,0.25279360003732665,q16_minus_q64,0.4220865110899699,1BDP_to_1MB_slowdown_mean,5
arm_mean,0.18776101059341938,2.3609140110764377,1.9853919898895989,q16,2.173153000483018,1BDP_to_1MB_slowdown_p95,5
paired_percent,1.517922724419206,2.013922121529864,-1.021923327308548,q16_minus_q64,0.4959993971106579,1BDP_to_1MB_slowdown_p95,5
arm_mean,0.43383116125891374,3.2544054911113807,2.386743168593553,q16,2.820574329852467,1BDP_to_1MB_slowdown_p99,5
paired_percent,3.202824055850991,4.298050353893215,-2.1075977578087666,q16_minus_q64,1.0952262980422245,1BDP_to_1MB_slowdown_p99,5
arm_mean,0.08609251820037114,9.291838286938265,9.119653250537525,q16,9.205745768737895,8KB_to_1BDP_fct_us_mean,5
