time_ns,event,set_change,host_node,flow_id,data_source_ip,data_destination_ip,active_flows,line_rate_bps,grant_rate_bps,next_seq,serialized_bytes
2004004481,sent,registration,15,0,184549377,184553217,1,100000000000,100000000000,1000,94
2004005264,sent,registration,15,1,184549633,184553217,2,100000000000,50000000000,1000,94
2004005264,sent,registration,15,0,184549377,184553217,2,100000000000,50000000000,9000,94
2004008516,received,none,0,0,184549377,184553217,0,100000000000,100000000000,97000,94
2004009299,received,none,1,1,184549633,184553217,0,100000000000,50000000000,98000,94
2004009306,received,none,0,0,184549377,184553217,0,100000000000,50000000000,106000,94
2005477373,sent,release,15,1,184549633,184553217,1,100000000000,100000000000,7647000,94
2005481408,received,none,1,1,184549633,184553217,0,100000000000,100000000000,7691000,94
# attempted 8 written 8 truncated 0
