arm,elapsed_seconds,flow_count,flow_sha256,git_sha,output_bytes,output_dir,output_id,passed,seed
eta020_rho075_q64,2,6103,f551c4ddb7329ed6fd6abe381a7ae91a522e2235d62510ce7c4044f21b83bc2b,93cfac0658adf49c0abe5123d79f4a5d86e30c76,647115,mix/output/577855383,577855383,True,28
eta020_rho050_q64,2,6103,f551c4ddb7329ed6fd6abe381a7ae91a522e2235d62510ce7c4044f21b83bc2b,93cfac0658adf49c0abe5123d79f4a5d86e30c76,646771,mix/output/229987595,229987595,True,28
eta000_rho100_q64,2,6145,754e10d724fd2214a801d87e02c3bc79a4221e9041a30827ce4dff2e9c6a735f,93cfac0658adf49c0abe5123d79f4a5d86e30c76,651245,mix/output/226023811,226023811,True,29
eta000_rho075_q64,2,6145,754e10d724fd2214a801d87e02c3bc79a4221e9041a30827ce4dff2e9c6a735f,93cfac0658adf49c0abe5123d79f4a5d86e30c76,652857,mix/output/312697147,312697147,True,29
eta000_rho050_q64,2,6145,754e10d724fd2214a801d87e02c3bc79a4221e9041a30827ce4dff2e9c6a735f,93cfac0658adf49c0abe5123d79f4a5d86e30c76,650528,mix/output/493987756,493987756,True,29
eta010_rho100_q64,2,6145,754e10d724fd2214a801d87e02c3bc79a4221e9041a30827ce4dff2e9c6a735f,93cfac0658adf49c0abe5123d79f4a5d86e30c76,650227,mix/output/357910582,357910582,True,29
eta010_rho075_q64,2,6145,754e10d724fd2214a801d87e02c3bc79a4221e9041a30827ce4dff2e9c6a735f,93cfac0658adf49c0abe5123d79f4a5d86e30c76,649716,mix/output/468263723,468263723,True,29
eta010_rho050_q64,2,6145,754e10d724fd2214a801d87e02c3bc79a4221e9041a30827ce4dff2e9c6a735f,93cfac0658adf49c0abe5123d79f4a5d86e30c76,652863,mix/output/809222456,809222456,True,29
eta020_rho100_q64,2,6145,754e10d724fd2214a801d87e02c3bc79a4221e9041a30827ce4dff2e9c6a735f,93cfac0658adf49c0abe5123d79f4a5d86e30c76,650686,mix/output/563785919,563785919,True,29
eta020_rho075_q64,2,6145,754e10d724fd2214a801d87e02c3bc79a4221e9041a30827ce4dff2e9c6a735f,93cfac0658adf49c0abe5123d79f4a5d86e30c76,651048,mix/output/687671489,687671489,True,29
eta020_rho050_q64,2,6145,754e10d724fd2214a801d87e02c3bc79a4221e9041a30827ce4dff2e9c6a735f,93cfac0658adf49c0abe5123d79f4a5d86e30c76,650704,mix/output/22969393,22969393,True,29
eta000_rho100_q64,2,6091,7ef725ab9458beea13a3c4a99fbc7f27630bca86e51152517ccb964d87b9a5b1,93cfac0658adf49c0abe5123d79f4a5d86e30c76,656346,mix/output/925167948,925167948,True,30
eta000_rho075_q64,2,6091,7ef725ab9458beea13a3c4a99fbc7f27630bca86e51152517ccb964d87b9a5b1,93cfac0658adf49c0abe5123d79f4a5d86e30c76,658099,mix/output/159399216,159399216,True,30
eta000_rho050_q64,2,6091,7ef725ab9458beea13a3c4a99fbc7f27630bca86e51152517ccb964d87b9a5b1,93cfac0658adf49c0abe5123d79f4a5d86e30c76,657630,mix/output/224672816,224672816,True,30
eta010_rho100_q64,2,6091,7ef725ab9458beea13a3c4a99fbc7f27630bca86e51152517ccb964d87b9a5b1,93cfac0658adf49c0abe5123d79f4a5d86e30c76,656577,mix/output/656003396,656003396,True,30
eta010_rho075_q64,2,6091,7ef725ab9458beea13a3c4a99fbc7f27630bca86e51152517ccb964d87b9a5b1,93cfac0658adf49c0abe5123d79f4a5d86e30c76,659109,mix/output/827885138,827885138,True,30
eta010_rho050_q64,2,6091,7ef725ab9458beea13a3c4a99fbc7f27630bca86e51152517ccb964d87b9a5b1,93cfac0658adf49c0abe5123d79f4a5d86e30c76,658693,mix/output/165257952,165257952,True,30
eta020_rho100_q64,2,6091,7ef725ab9458beea13a3c4a99fbc7f27630bca86e51152517ccb964d87b9a5b1,93cfac0658adf49c0abe5123d79f4a5d86e30c76,656754,mix/output/834205433,834205433,True,30
eta020_rho075_q64,2,6091,7ef725ab9458beea13a3c4a99fbc7f27630bca86e51152517ccb964d87b9a5b1,93cfac0658adf49c0abe5123d79f4a5d86e30c76,656023,mix/output/956293277,956293277,True,30
eta020_rho050_q64,2,6091,7ef725ab9458beea13a3c4a99fbc7f27630bca86e51152517ccb964d87b9a5b1,93cfac0658adf49c0abe5123d79f4a5d86e30c76,656194,mix/output/144138051,144138051,True,30
