arm,metric,seed,value
lambda200,gt_1MB_fct_us_p95,46,419.1065000000001
lambda200,gt_1MB_fct_us_p99,46,529.5747500000001
lambda200,gt_1MB_flow_count,46,78.0
lambda200,gt_1MB_slowdown_mean,46,1.7323466487730723
lambda200,gt_1MB_slowdown_p95,46,2.934593454594343
lambda200,gt_1MB_slowdown_p99,46,3.603361286089625
lambda200,guard_ack_interval_packets,46,8.0
lambda200,guard_adaptive_grant_updates,46,0.0
lambda200,guard_fixed_window,46,1.0
lambda200,guard_grant_refresh_bdps,46,1.0
lambda200,guard_long_acks_suppressed,46,157824.0
lambda200,guard_min_share_fraction,46,0.0
lambda200,guard_one_rtt_acks_suppressed,46,51935.0
lambda200,guard_one_rtt_bypass_enabled,46,1.0
lambda200,guard_one_rtt_bypass_feedbacks,46,5781.0
lambda200,guard_one_rtt_bypass_flows,46,5781.0
lambda200,guard_rebalance_events,46,0.0
lambda200,guard_remaining_aware,46,1.0
lambda200,guard_remaining_exponent,46,1.0
lambda200,guard_remaining_refresh_events,46,2066.0
lambda200,guard_sender_srpt_enabled,46,1.0
lambda200,guard_sender_srpt_forced_rr,46,109.0
lambda200,guard_sender_srpt_non_rr,46,32342.0
lambda200,guard_sender_srpt_selections,46,238583.0
lambda200,guard_srpt_quantum_packets,46,64.0
lambda200,guard_tail_bypass_bdps,46,8.0
lambda200,guard_tail_bypass_enabled,46,1.0
lambda200,guard_tail_bypass_feedbacks,46,13471.0
lambda200,guard_tail_bypass_flows,46,333.0
lambda200,hpcc_actual_rate_changes,46,17.0
lambda200,hpcc_fast_computations,46,0.0
lambda200,hpcc_feedback_updates,46,1603.0
lambda200,hpcc_full_computations,46,350.0
lambda200,hpcc_rate_updates_applied,46,350.0
lambda200,hpcc_valid_feedback,46,404.0
lambda200,int_hops_after_strip,46,32286.0
lambda200,int_hops_before_strip,46,61110.0
lambda200,int_records_stripped,46,28824.0
lambda200,irn_nacks_generated,46,0.0
lambda200,irn_nacks_received,46,0.0
lambda200,irn_retransmit_bytes,46,0.0
lambda200,irn_retransmit_packets,46,0.0
lambda200,le_8KB_fct_us_mean,46,6.994970023419204
lambda200,le_8KB_fct_us_p95,46,9.124
lambda200,le_8KB_fct_us_p99,46,9.43131
lambda200,le_8KB_flow_count,46,4270.0
lambda200,le_8KB_slowdown_mean,46,1.0108686454623277
lambda200,le_8KB_slowdown_p95,46,1.0414366195599025
lambda200,le_8KB_slowdown_p99,46,1.0924567042107585
lambda200,long_to_small_slowdown_mean_ratio,46,1.713720824707914
lambda200,max_active_flows,46,3.0
lambda200,overall_fct_us_mean,46,11.58071638861629
lambda200,overall_fct_us_p95,46,14.92735
lambda200,overall_fct_us_p99,46,180.26515999999987
lambda200,overall_flow_count,46,6114.0
lambda200,overall_slowdown_mean,46,1.0362033917177567
lambda200,overall_slowdown_p95,46,1.1327908562651177
lambda200,overall_slowdown_p99,46,1.5804692038867856
lambda200,pfc_pause_events,46,0.0
lambda200,pfc_resume_events,46,0.0
lambda200,proactive_releases,46,333.0
lambda200,queue_bytes_max,46,416309.0
lambda200,queue_bytes_mean,46,2247.159
lambda200,queue_bytes_p95,46,5450.0
lambda200,queue_bytes_p99,46,69760.0
lambda200,queue_sample_count,46,160000.0
lambda200,reactive_binding_rate_changes,46,12.0
lambda200,reactive_binding_updates,46,12.0
lambda200,recovery_nacks_generated,46,0.0
lambda200,recovery_nacks_received,46,0.0
lambda200,registrations,46,333.0
lambda200,selected_registrations,46,333.0
lambda200,tie_binding_rate_changes,46,5.0
lambda200,tie_binding_updates,46,291.0
lambda200,timeout_recoveries,46,0.0
lambda220,1BDP_to_1MB_fct_us_mean,46,48.56915757575758
lambda220,1BDP_to_1MB_fct_us_p95,46,143.32040000000006
lambda220,1BDP_to_1MB_fct_us_p99,46,205.40324000000027
lambda220,1BDP_to_1MB_flow_count,46,165.0
lambda220,1BDP_to_1MB_slowdown_mean,46,1.2905585320976953
lambda220,1BDP_to_1MB_slowdown_p95,46,1.9126807580021268
lambda220,1BDP_to_1MB_slowdown_p99,46,2.5002792319148623
lambda220,8KB_to_1BDP_fct_us_mean,46,9.181682073703934
lambda220,8KB_to_1BDP_fct_us_p95,46,14.606
